Name,Attendance,Feedback,Leave,Overtime(hours),Education level,Flexibility,Punctuality,Team Work,Presentation Skills,Meets Deadline,Rating
5,26,6,0,0,2,4,3,3,4,4,4
5,26,8,0,0,2,4,5,3,4,3,4
5,26,8,0,0,2,3,5,2,4,3,3
5,26,10,0,0,2,5,4,3,3,4,4
5,26,4,0,0,2,3,3,1,2,3,2
5,26,4,0,0,2,2,3,1,2,3,2
5,26,5,0,0,2,3,3,2,3,2,2
5,26,3,0,0,2,3,2,2,2,3,2
5,26,6,0,0,2,2,3,2,1,2,2
5,26,5,0,0,2,2,2,3,2,3,2
5,26,6,0,0,2,2,3,2,2,1,2
5,26,2,0,0,2,2,2,3,2,3,2
5,26,3,0,0,2,2,3,1,2,3,2
5,26,6,0,0,2,5,4,4,3,3,4
5,26,9,0,0,2,4,3,4,3,3,4
5,26,9,0,0,2,3,5,1,5,5,3
5,26,4,0,0,3,2,3,2,1,2,2
5,26,8,0,0,3,3,3,2,4,3,3
5,26,8,0,0,3,3,3,2,5,2,3
5,26,8,0,0,3,4,2,2,3,2,3
5,26,8,0,0,3,5,3,4,4,3,4
5,26,9,0,0,3,4,3,3,4,4,4
5,26,9,0,0,3,4,3,3,4,3,4
5,26,9,0,0,3,2,3,2,4,3,3
5,26,9,0,0,3,3,5,3,4,4,4
5,26,9,0,0,3,2,5,2,4,3,3
5,26,9,0,0,3,3,5,4,4,4,4
5,26,9,0,0,3,5,5,5,4,4,5
5,26,9,0,0,3,4,5,5,4,5,5
5,26,9,0,0,3,3,5,3,2,4,4
5,26,6,0,0,3,3,5,4,5,4,4
5,26,7,0,0,3,4,5,3,5,5,4
5,26,7,0,0,3,3,5,4,4,3,4
5,26,9,0,0,3,4,4,5,5,5,5
5,26,3,0,0,3,2,2,1,1,1,1
5,26,2,0,0,3,2,1,3,1,2,1
5,26,3,0,0,3,1,2,2,2,1,1
5,26,3,0,0,3,1,2,2,2,1,1
5,26,2,0,0,3,2,1,4,2,1,1
5,26,2,0,0,3,2,1,2,1,2,1
5,26,2,0,0,3,2,1,2,2,1,1
5,26,2,0,0,3,1,2,1,1,1,1
5,26,4,0,0,3,1,1,1,2,2,1
5,26,4,0,0,3,1,1,1,4,2,1
5,26,4,0,0,3,1,2,2,1,2,1
