Name,Attendance,Feedback,Leave,Overtime(hours),Education level,Flexibility,Punctuality,Team Work,Presentation Skills,Meets Deadline,Rating
6,26,7,0,4,1,3,4,3,3,4,3
6,26,5,0,10,1,4,3,2,3,3,3
6,10,4,16,16,1,5,1,4,3,3,2
6,12,6,14,7,1,3,1,3,2,3,2
6,26,9,0,9,1,4,4,2,2,4,3
6,14,6,16,0,1,1,1,1,1,1,1
6,26,8,0,7,1,3,1,3,3,2,2
6,26,9,0,5,1,3,5,4,4,3,4
6,14,9,16,6,1,4,3,4,5,3,3
6,26,6,0,17,1,2,2,3,2,2,3
6,26,8,0,8,1,3,2,4,3,2,2
6,26,3,0,9,1,1,2,1,2,2,2
6,17,7,9,11,1,3,3,4,2,2,3
6,26,5,0,7,1,3,3,4,2,2,2
6,22,7,4,17,1,3,2,3,3,3,3
6,15,6,11,7,1,3,2,2,1,3,3
6,26,6,0,2,1,1,3,3,3,2,2
6,17,7,9,11,1,5,3,2,4,4,3
6,26,7,0,25,1,4,4,4,5,5,5
6,11,8,15,28,1,5,4,3,4,5,3
6,26,8,0,19,1,4,3,5,5,3,5
6,26,9,0,8,1,4,5,5,4,4,5
6,0,0,26,0,0,0,0,0,0,0,0
6,0,0,26,0,0,0,0,0,0,0,0
6,0,0,26,0,0,0,0,0,0,0,0
6,0,0,26,0,0,0,0,0,0,0,0
6,0,0,26,0,0,0,0,0,0,0,0
6,0,0,26,0,0,0,0,0,0,0,0
6,0,0,26,0,0,0,0,0,0,0,0
6,0,0,26,0,0,0,0,0,0,0,0
6,0,0,26,0,0,0,0,0,0,0,0
6,19,5,7,0,1,1,2,1,1,1,1
6,22,4,4,16,1,2,1,2,1,1,1
6,26,3,0,17,2,3,4,3,3,2,2
6,24,7,2,14,2,2,3,2,2,3,2
6,16,6,10,19,2,2,3,2,2,3,2
6,9,7,18,22,2,4,3,3,4,3,2
6,26,9,0,25,2,3,3,2,2,3,3
6,26,8,0,21,2,2,2,3,2,2,3
