Name,Attendance,Feedback,Leave,Overtime(hours),Education level,Flexibility,Punctuality,Team Work,Presentation Skills,Meets Deadline,Rating
4,26,8,0,0,4,4,3,3,4,3,4
4,26,10,0,30,4,4,5,4,4,5,5
4,26,6,0,0,4,4,5,3,4,3,4
4,26,8,0,0,4,3,5,3,3,3,4
4,26,8,0,0,4,3,3,4,3,5,4
4,26,8,0,0,4,3,5,3,4,3,4
4,26,9,0,0,4,5,5,5,4,5,5
4,26,9,0,0,4,5,5,5,4,5,5
4,26,9,0,0,4,5,5,5,5,5,5
4,26,9,0,0,4,5,5,5,5,5,5
4,26,7,0,0,4,3,3,4,3,3,4
4,26,9,0,0,4,5,5,5,5,5,5
4,26,8,0,12,4,5,2,4,3,3,4
4,26,8,0,12,4,5,3,3,3,4,5
4,26,7,0,12,4,2,3,4,3,3,4
4,26,7,0,12,4,3,3,4,3,4,4
4,26,7,0,12,4,3,3,4,3,5,4
4,26,9,0,12,4,5,5,4,5,5,5
4,26,9,0,12,4,5,5,4,5,5,5
4,26,9,0,12,4,5,5,4,5,5,5
4,26,9,0,10,4,5,5,4,5,5,5
4,26,9,0,10,4,5,5,4,5,5,5
4,26,9,0,10,4,5,5,4,5,5,5
4,26,9,0,10,4,5,5,4,5,4,5
4,26,7,0,10,4,5,4,3,4,3,4
4,26,6,0,10,4,5,4,4,3,3,4
4,26,9,0,10,4,5,5,5,5,4,5
4,26,9,0,0,4,5,5,5,5,5,5
4,26,8,0,30,4,3,3,3,3,3,4
4,26,8,0,25,4,3,3,3,3,3,4
4,26,8,0,25,4,3,3,5,3,2,4
4,26,8,0,25,4,3,4,3,2,3,4
4,26,7,0,22,4,4,3,3,2,5,4
4,26,8,0,28,4,4,3,3,3,4,4
4,26,8,0,30,4,3,3,4,3,3,4
4,26,6,0,30,4,3,3,3,3,4,4
4,26,8,0,28,4,3,5,3,5,3,4
4,25,8,1,28,4,2,3,4,3,5,4
4,25,8,1,28,4,4,5,3,4,2,4
4,25,8,1,28,5,3,2,3,3,4,4
4,25,8,1,28,5,5,2,3,3,3,4
4,25,8,1,28,5,5,4,5,5,5,5
4,25,10,1,29,5,5,5,4,4,4,5
4,25,9,1,24,5,5,5,4,5,4,5
4,25,9,1,30,5,5,5,4,5,5,5
4,25,9,1,30,5,5,5,5,5,4,5
4,26,9,0,30,5,5,5,4,5,4,5
4,26,9,0,30,5,5,5,4,5,5,5
4,26,8,0,30,5,5,5,4,5,5,5
4,26,9,0,30,5,5,5,5,5,5,5
4,26,9,0,30,5,5,5,5,5,4,5
4,26,10,0,30,5,5,5,5,5,5,5
4,26,9,0,30,5,4,5,5,5,5,5
4,26,6,0,30,5,2,3,4,5,3,4
4,25,8,1,30,5,5,3,2,3,4,4
4,25,6,1,29,3,5,4,2,4,3,4
4,25,8,1,29,5,5,4,4,3,3,5
4,4,4,22,4,5,3,3,4,3,4,4
4,26,7,0,29,5,4,3,4,3,4,4
4,26,8,0,29,5,4,2,4,5,3,4
4,26,7,0,30,5,4,5,5,4,4,5
4,26,8,0,30,5,4,5,5,4,5,5
4,26,7,0,30,5,5,4,4,5,4,5
4,26,6,0,30,5,4,5,4,4,5,5
4,26,7,0,30,5,5,5,4,5,4,5
4,26,8,0,30,5,5,4,4,4,5,5
4,26,7,0,0,5,3,4,4,3,3,4
4,26,7,0,0,5,3,3,4,5,4,4
4,26,8,0,0,5,3,4,4,4,5,4
4,26,7,0,26,5,4,4,3,3,3,4
4,26,7,0,26,5,4,3,4,3,4,4
