Name,Attendance,Feedback,Leave,Overtime(hours),Education level,Flexibility,Punctuality,Team Work,Presentation Skills,Meets Deadline,Rating
2,26,3,0,0,4,3,1,2,3,3,2
2,26,7,0,0,4,1,4,1,2,5,3
2,26,7,0,0,4,5,1,5,5,5,4
2,26,9,0,0,4,5,2,5,3,4,4
2,26,2,0,0,4,5,1,2,5,2,3
2,26,1,0,0,4,1,5,2,1,5,2
2,26,2,0,0,4,1,1,5,1,1,1
2,26,6,0,0,4,5,5,4,3,4,4
2,26,5,0,0,4,3,5,3,4,4,3
2,26,4,0,0,4,2,5,3,1,2,3
2,26,2,0,0,4,1,2,3,1,2,2
2,26,4,0,0,4,4,2,4,5,3,3
2,26,5,0,0,4,2,3,3,3,3,3
2,26,1,0,0,4,3,3,5,2,3,2
2,26,3,0,0,4,1,2,1,1,2,1
2,26,3,0,0,4,1,1,2,1,2,1
2,26,1,0,0,4,1,1,1,2,2,1
2,26,8,0,0,4,4,4,5,5,4,5
2,26,8,0,0,4,5,4,5,3,5,5
2,26,2,0,0,4,2,2,1,2,1,1
2,26,3,0,0,4,1,3,1,1,3,2
2,26,3,0,0,4,5,5,4,3,2,3
2,26,5,0,0,4,3,2,4,3,3,3
2,26,6,0,0,4,3,3,5,5,4,4
2,26,5,0,0,4,3,1,3,2,2,2
2,26,6,0,0,4,4,3,1,4,3,3
2,26,10,0,0,4,1,2,3,4,4,3
2,26,5,0,0,4,3,4,3,3,5,4
2,26,7,0,0,4,3,3,5,4,3,4
2,26,8,0,0,4,3,4,3,5,2,4
2,26,7,0,0,4,4,2,4,4,5,4
2,26,1,0,0,4,2,2,1,1,2,1
2,26,1,0,0,4,1,2,1,3,3,2
2,26,3,0,0,4,1,2,2,1,1,1
2,26,9,0,0,4,5,4,5,5,4,5
2,26,4,0,0,4,3,5,4,4,5,4
2,26,10,0,0,4,1,5,1,5,2,3
2,26,7,0,0,4,5,5,3,3,5,4
2,26,1,0,0,4,1,3,4,2,2,2
2,26,7,0,0,4,2,4,3,5,4,4
2,26,1,0,0,4,2,3,5,4,1,2
2,26,5,0,0,4,4,2,1,3,5,3
2,26,8,0,0,4,4,5,4,4,2,4
2,26,2,0,0,4,1,2,2,1,1,1
2,26,3,0,0,4,1,3,4,1,3,2
2,26,5,0,0,4,5,5,5,4,4,4
2,26,8,0,0,4,2,3,3,5,5,3
2,26,5,0,0,4,1,1,3,4,1,2
2,26,6,0,0,4,3,2,2,2,5,2
2,26,9,0,0,4,5,5,3,5,4,5
2,26,4,0,0,4,1,3,1,1,2,2
2,26,3,0,0,4,1,3,3,4,2,2
2,26,7,0,0,4,2,4,5,4,4,4
2,26,1,0,0,4,5,4,4,5,4,3
2,26,5,0,0,4,3,2,2,1,3,2
2,26,2,0,0,4,5,2,1,5,3,2
2,26,2,0,0,4,1,1,2,1,2,1
2,26,3,0,0,4,2,1,2,3,2,2
2,26,7,0,0,4,5,5,1,2,4,3
