Name,Attendance,Feedback,Leave,Overtime(hours),Education level,Flexibility,Punctuality,Team Work,Presentation Skills,Meets Deadline,Rating
1,25,9,1,22,3,5,2,5,1,4,4
1,16,5,10,23,3,4,1,1,1,4,3
1,16,6,10,15,3,2,2,4,1,4,3
1,16,8,10,11,3,5,2,3,5,2,3
1,22,4,4,1,3,2,3,4,2,2,4
1,18,8,8,1,3,4,4,3,4,3,3
1,26,10,0,4,3,3,4,3,2,4,4
1,15,6,11,7,3,5,4,2,1,2,2
1,26,6,0,15,3,4,1,1,1,3,2
1,16,9,10,20,3,1,2,2,1,4,3
1,16,5,10,0,3,5,4,1,4,4,3
1,26,10,0,14,3,4,5,2,4,3,4
1,18,3,8,6,3,3,4,1,1,5,2
1,26,7,0,6,3,2,1,5,5,2,3
1,26,10,0,13,3,4,4,3,2,3,4
1,17,4,9,25,3,2,3,4,4,5,3
1,25,5,1,1,3,3,1,1,4,1,1
1,18,7,8,5,3,4,1,1,2,3,2
1,17,2,9,19,3,5,4,4,4,5,3
1,18,4,8,5,3,1,1,1,1,4,1
1,26,8,0,2,3,2,2,1,2,2,2
1,20,6,6,15,3,3,1,3,1,3,2
1,22,6,4,6,3,1,1,4,5,2,2
1,26,4,0,6,3,4,1,3,3,3,3
1,26,8,0,2,3,2,3,5,4,2,3
1,23,4,3,3,3,1,5,2,5,1,3
1,26,8,0,11,3,1,2,3,5,5,4
1,17,9,9,19,3,5,3,1,3,1,3
1,16,7,10,22,3,3,4,3,2,2,2
1,26,4,0,15,3,5,5,4,3,5,4
1,26,4,0,3,3,1,4,5,4,3,3
1,26,10,0,21,3,5,2,4,5,4,4
1,15,6,11,2,3,2,3,4,5,3,3
1,24,7,2,29,3,1,2,5,4,3,3
1,19,7,7,7,3,5,5,5,5,4,4
1,26,3,0,14,3,4,2,2,4,4,3
1,15,5,11,5,3,3,4,2,1,2,2
1,26,5,0,3,3,1,3,1,2,3,2
1,26,4,0,22,3,3,1,4,4,4,3
1,18,2,8,23,3,3,1,2,4,2,3
1,17,1,9,10,3,1,5,3,1,5,2
1,15,3,11,4,3,4,5,4,2,5,3
1,22,8,4,6,3,4,2,4,3,2,3
1,24,7,2,11,3,3,1,3,5,3,3
1,24,10,2,29,3,3,2,5,5,4,4
1,25,5,1,25,3,2,4,3,3,2,3
1,18,8,7,29,3,5,4,2,2,2,3
1,21,8,5,2,3,4,5,2,3,3,3
1,22,5,4,25,3,4,5,1,4,3,3
1,17,6,9,21,3,3,4,2,3,5,3
1,26,10,0,17,3,5,3,5,2,1,3
1,26,5,0,7,3,2,2,3,5,4,3
1,23,2,3,10,3,1,2,3,5,3,2
1,26,4,0,22,3,5,5,2,2,2,3
1,18,8,8,28,3,3,2,5,4,4,3
1,23,5,3,4,3,3,5,2,4,3,3
1,16,8,10,0,3,3,5,1,1,2,2
1,26,4,0,29,3,5,2,1,2,3,3
1,26,4,0,1,3,2,3,3,1,2,2
