Name,Attendance,Feedback,Leave,Overtime(hours),Education level,Flexibility,Punctuality,Team Work,Presentation Skills,Meets Deadline,Rating
3,26,6,0,0,3,3,2,3,3,4,3
3,26,7,0,0,3,3,2,5,3,3,3
3,26,5,0,0,3,1,2,2,2,1,2
3,26,4,0,0,3,1,1,2,2,1,2
3,26,6,0,0,3,3,3,4,4,2,3
3,26,8,0,0,3,4,3,1,5,2,3
3,26,6,0,0,3,4,3,3,5,2,3
3,26,5,0,0,3,1,3,4,3,3,3
3,26,7,0,0,3,2,3,4,1,5,3
3,26,7,0,0,3,4,3,4,3,3,4
3,26,8,0,0,3,2,4,4,5,3,4
3,26,3,0,0,3,1,1,1,2,2,1
3,26,8,0,0,3,4,5,2,3,4,4
3,26,7,0,0,3,4,3,3,4,3,4
3,26,7,0,0,3,3,5,3,4,4,5
3,26,7,0,0,3,3,4,4,3,4,5
3,26,8,0,0,3,3,4,5,5,3,5
3,26,8,0,0,3,4,4,5,3,5,5
3,26,7,0,0,3,4,4,3,5,5,5
3,26,9,0,0,3,4,4,4,4,5,5
3,26,7,0,0,3,3,3,4,2,3,3
3,26,4,0,2,3,3,1,1,1,1,1
3,26,5,0,2,3,1,1,3,1,5,2
3,26,6,0,10,3,3,2,3,2,2,2
3,26,6,0,13,3,3,5,2,2,5,3
3,0,0,26,0,3,0,0,0,0,0,0
3,0,0,26,0,3,0,0,0,0,0,0
3,0,0,26,0,3,0,0,0,0,0,0
3,0,0,26,0,3,0,0,0,0,0,0
3,0,0,26,0,3,0,0,0,0,0,0
3,0,0,26,0,3,0,0,0,0,0,0
3,0,0,26,0,3,0,0,0,0,0,0
3,0,0,26,0,3,0,0,0,0,0,0
3,0,0,26,0,3,0,0,0,0,0,0
3,0,0,26,0,3,0,0,0,0,0,0
3,0,0,26,0,3,0,0,0,0,0,0
3,0,0,26,0,3,0,0,0,0,0,0
3,0,0,26,0,3,0,0,0,0,0,0
3,0,0,26,0,3,0,0,0,0,0,0
3,26,8,0,9,3,3,2,4,3,3,4
3,26,6,0,4,3,3,5,5,4,4,4
3,26,7,0,4,3,3,4,4,3,4,4
3,26,8,0,1,3,4,4,3,4,4,4
3,26,6,0,0,3,3,3,4,3,5,4
3,26,5,0,6,3,3,5,5,4,4,4
3,26,7,0,11,3,4,3,5,3,3,4
3,26,6,0,7,3,3,4,3,4,3,4
3,26,7,0,4,3,3,4,4,3,3,4
3,26,8,0,1,3,3,4,3,3,3,4
3,26,4,0,12,3,1,2,1,2,2,2
3,26,3,0,1,3,2,1,1,2,4,2
3,26,6,0,6,3,2,3,1,1,2,2
3,26,9,0,11,3,1,1,1,1,1,2
3,26,4,0,12,3,2,2,1,3,3,2
3,26,8,0,13,3,2,1,3,1,2,2
3,26,6,0,11,3,2,2,2,3,3,2
3,26,5,0,9,3,3,2,4,3,4,3
3,26,6,0,9,3,2,2,3,2,3,3
3,3,3,23,3,3,3,3,3,3,3,2
3,3,3,23,3,3,2,1,2,2,3,1
