Name,Attendance,Feedback,Leave,Overtime(hours),Education level,Flexibility,Punctuality,Team Work,Presentation Skills,Meets Deadline,Rating
10,24,9,2,0,3,4,4,3,4,5,4
10,26,2,0,0,3,4,5,3,5,4,4
10,26,8,0,0,3,2,2,2,4,1,3
10,26,9,0,0,3,2,1,3,5,4,3
10,26,8,0,0,3,3,4,2,1,1,2
10,26,6,0,0,3,3,1,3,4,4,3
10,26,1,0,0,3,3,2,3,5,3,2
10,26,2,0,0,3,5,3,1,1,1,1
10,26,4,0,0,3,1,5,1,5,4,2
10,26,9,0,0,3,5,1,5,1,3,3
10,26,10,0,0,3,3,2,3,4,4,4
10,0,0,26,0,3,0,0,0,0,0,0
10,0,0,26,0,3,0,0,0,0,0,0
10,17,7,9,0,3,1,3,4,4,4,3
10,26,4,0,0,3,4,2,2,5,2,2
10,24,1,2,0,3,3,4,2,5,3,2
10,26,5,0,0,3,4,5,5,4,5,4
10,20,8,6,0,3,3,4,5,4,1,3
10,26,2,0,0,3,3,2,1,4,2,2
10,18,4,8,0,3,3,1,4,1,2,1
10,16,3,10,0,3,1,2,2,1,3,1
10,26,6,0,10,4,3,4,3,5,4,4
10,26,8,0,12,4,2,5,3,1,3,3
10,26,5,0,1,4,2,2,1,3,1,2
10,26,4,0,0,4,1,2,2,2,3,2
10,26,6,0,0,4,4,4,2,2,1,3
10,26,6,0,0,4,1,5,4,4,3,3
10,26,7,0,0,4,2,1,3,3,3,3
10,26,3,0,0,4,3,1,1,1,5,2
10,26,2,0,0,4,2,3,2,4,2,2
10,26,4,0,0,4,2,1,3,1,2,1
10,26,8,0,0,4,5,2,4,3,2,3
10,26,6,0,0,4,5,2,4,1,3,3
10,26,1,0,0,4,2,3,3,3,2,2
10,26,5,0,0,4,4,3,1,4,3,3
10,26,10,0,0,4,3,4,3,2,5,4
10,26,5,0,0,4,1,3,4,4,5,3
10,26,5,0,0,4,1,4,5,2,5,3
10,26,9,0,0,4,2,1,1,5,1,2
10,26,10,0,0,4,3,1,4,5,4,4
10,26,3,0,0,4,3,5,4,3,3,3
10,26,2,0,0,4,3,3,2,2,2,2
10,26,10,0,0,4,5,2,3,4,5,3
10,26,6,0,0,4,5,4,5,5,4,4
10,16,3,10,0,4,3,4,2,3,1,2
10,17,2,9,0,4,3,3,4,2,2,2
10,17,10,9,0,4,3,4,3,4,3,3
10,26,6,0,0,4,1,3,2,2,1,2
10,26,3,0,23,4,5,2,3,4,1,2
10,26,6,0,4,4,1,2,5,4,5,3
10,26,5,0,30,4,2,3,4,5,4,3
10,26,2,0,17,4,5,4,4,3,4,3
10,26,6,0,7,4,2,2,5,4,4,3
10,26,9,0,11,4,4,3,1,2,3,3
10,26,6,0,0,4,1,4,1,1,3,2
10,26,3,0,0,4,1,2,3,2,1,2
10,26,5,0,0,4,2,3,2,5,5,3
10,26,5,0,0,4,1,3,1,4,2,2
10,26,9,0,0,4,1,3,1,3,5,3
